料理名,料理名[読み],エネルギー[100キロカロリー毎],たんぱく質[100キロカロリー毎],脂質[100キロカロリー毎],炭水化物[100キロカロリー毎],g合計
ジャーマンポテト,じゃーまんぽてと,104.7,1.9,5.2,13.4,90.7
さつまいものレモン煮,さつまいものれもんに,152.2,1.1,0.2,36.8,56.5
山芋のカレー煮,やまいものかれーに,81.6,5.0,3.1,7.5,160.5
豆腐とわかめのみそ汁,とうふとわかめのみそしる,17.5,1.4,0.7,1.6,183.0
もやしと油揚げのみそ汁,もやしとあぶらあげのみそしる,25.4,1.6,1.4,1.6,209.0
大根と油揚げのみそ汁,だいこんとあぶらあげのみそしる,25.6,1.3,1.4,2.0,219.0
なめこ汁,なめこじる,15.5,1.3,0.6,1.9,207.0
具だくさん味噌汁,ぐだくさんみそしる,21.5,1.0,0.3,4.1,200.0
だご汁,だごしる,68.1,2.7,1.6,10.6,335.0
豚汁,とんじる,39.0,2.3,1.0,5.1,267.0
あさりのみそ汁,あさりのみそしる,70.3,7.3,1.6,5.9,37.0
大根のすまし汁,だいこんのすましじる,8.8,0.5,0.0,1.9,205.5
豆腐とえのきのすまし汁,とうふとえのきのすましじる,12.1,1.1,0.3,1.2,189.9
豆腐とわかめのすまし汁,とうふとわかめのすましじる,12.1,1.0,0.3,1.0,181.3
かき玉汁,かきたまじる,25.9,2.0,1.4,1.1,181.6
卵豆腐のすまし汁,たまごどうふのすましじる,16.0,1.4,0.8,0.9,187.4
若竹汁,わかたけじる,8.9,1.0,0.1,1.5,157.5
とろろ梅のお吸い物,とろろうめのおすいもの,10.4,0.9,0.1,1.9,164.3
押し麦とわかめのすまし汁,おしむぎとわかめのすましじる,29.1,0.8,1.2,4.2,171.8
コーンスープ,こーんすーぷ,68.9,2.7,2.6,9.0,158.3
かぼちゃのポタージュ,かぼちゃのぽたーじゅ,70.4,2.1,1.3,12.8,98.0
かぶのポタージュ,かぶのぽたーじゅ,66.2,2.0,4.3,4.8,161.6
オニオンスープ,おにおんすーぷ,116.3,2.9,6.1,12.5,98.0
春キャベツの具沢山ミルクスープ,はるきゃべつのぐだくさんみるくすーぷ,84.4,2.8,1.4,15.2,109.0
じゃがいものコンソメスープ,じゃがいものこんそめすーぷ,65.7,1.7,0.2,14.3,53.3
もやしとわかめのコンソメスープ,もやしとわかめのこんそめすーぷ,75.8,6.1,3.8,4.4,34.3
にら玉スープ,にらたますーぷ,13.7,1.6,0.6,0.7,197.5
牛乳（コップ1杯）,ぎゅうにゅう（こっぷ1ぱい）,67.3,3.3,3.8,4.8,150.0
ヨーグルト（プレーン）（ミニカップ1個）,よーぐると（ぷれーん）（みにかっぷ1こ）,61.4,3.6,3.0,4.9,70.0
ヨーグルト（加糖）（ミニカップ1個）,よーぐると（かとう）（みにかっぷ1こ）,67.1,4.3,0.1,11.9,70.0
ヨーグルト（ドリンクタイプ）（1本）,よーぐると（どりんくたいぷ）（1ほん）,65.2,2.9,0.5,12.2,135.0
6Pチーズ（1個）,6Pちーず（1こ）,340.0,22.8,26.0,1.2,25.0
スライスチーズ（1枚）,すらいすちーず（1まい）,338.9,22.8,26.1,1.1,18.0
バナナ（M1本）,ばなな（M1ほん）,86.3,1.1,0.2,22.5,117.0
みかん（M1個）,みかん（M1こ）,45.5,0.7,0.1,12.0,88.0
りんご（M1個）,りんご（M1こ）,54.2,0.2,0.1,14.6,238.0
キウイフルーツ（1個）,きういふるーつ（1こ）,52.9,1.0,0.1,13.5,102.0
いちご（1個）,いちご（1こ）,33.3,1.1,0.0,8.9,9.0
オレンジ（1個）,おれんじ（1こ）,38.6,1.0,0.1,9.8,114.0
グレープフルーツ（1個）,ぐれーぷふるーつ（1こ）,38.1,0.9,0.1,9.6,315.0
柿（M1個）,がき（M1こ）,59.9,0.4,0.2,15.9,182.0
梨（M1個）,なし（M1こ）,43.2,0.3,0.1,11.3,213.0
巨峰（1房）,きょほう（1ふさ）,59.2,0.4,0.1,15.7,240.0
もも（M1個）,もも（M1こ）,40.0,0.6,0.1,10.2,170.0
メロン（8分の1玉）,めろん（8ふんの1たま）,41.9,1.1,0.2,10.3,62.0
スイカ（S　8分の1玉）,すいか（S 8ふんの1たま）,37.0,0.6,0.1,9.5,300.0
りんごのコンポート,りんごのこんぽーと,71.2,0.2,0.1,18.9,85.7
たこ焼き（6個）,たこやき（6こ）,196.9,10.9,6.2,22.4,163.5
お好み焼き（1枚）,おこのみやき（1まい）,138.7,5.9,6.8,12.4,333.0
広島風お好み焼き（1枚）,ひろしまふうおこのみやき（1まい）,184.3,7.2,7.1,21.4,337.5
あめ（1個）,あめ（1こ）,400.0,0.0,0.0,96.7,3.0
キャラメル（1個）,きゃらめる（1こ）,440.0,4.0,12.0,78.0,5.0
ポテトチップ（1袋60グラム）,ぽてとちっぷ（1ふくろ60ぐらむ）,553.3,4.7,35.2,54.7,60.0
ミルクチョコレート（1枚）,みるくちょこれーと（1まい）,558.0,7.0,34.2,55.8,50.0
ショートケーキ（1切）,しょーとけーき（1きれ）,343.5,7.4,14.0,47.1,85.0
チョコレートケーキ（1切）,ちょこれーとけーき（1きれ）,362.2,7.0,17.6,44.0,108.5
アップルパイ（1個）,あっぷるぱい（1こ）,304.0,4.0,17.5,32.7,75.0
シュークリーム（1個）,しゅーくりーむ（1こ）,245.7,8.4,13.6,22.3,70.0
コーヒーゼリー（1個）,こーひーぜりー（1こ）,45.0,1.7,0.0,9.5,100.0
オレンジゼリー（1個）,おれんじぜりー（1こ）,70.0,2.3,0.0,15.3,100.0
プリン（小1個）,ぷりん（しょう1こ）,125.6,5.6,5.0,14.7,90.0
アイスクリーム（1個）,あいすくりーむ（1こ）,180.0,3.9,8.0,23.2,105.0
回転饅頭（今川焼）（1個）,かいてんまんじゅう（いまがわやき）（1こ）,222.2,4.4,1.1,48.6,90.0
どら焼き（1個）,どらやき（1こ）,283.8,6.3,2.6,58.9,80.0
串団子（醤油味）（1本）,くしだんご（しょうゆあじ）（1ほん）,197.5,3.1,0.4,45.3,80.0
蒸饅頭（1個）,ふかしまんじゅう（1こ）,260.0,4.9,0.4,59.1,45.0
さくら餅（関西風）（1個）,さくらもち（かんさいふう）（1こ）,200.0,3.4,0.2,46.2,50.0
練ようかん（1切）,ねりようかん（1きれ）,296.0,3.6,0.2,70.0,50.0
水ようかん（1個）,みずようかん（1こ）,171.3,2.6,0.1,40.0,80.0
煎茶（1杯）,せんちゃ（1ぱい）,2.0,0.2,0.0,0.2,100.0
番茶（1杯）,ばんちゃ（1ぱい）,0.0,0.0,0.0,0.1,100.0
麦茶（1杯）,むぎちゃ（1ぱい）,1.3,0.0,0.0,0.3,150.0
コーヒー（ブラック）（1杯）,こーひー（ぶらっく）（1ぱい）,4.0,0.2,0.0,0.7,150.0
カフェオレ（砂糖なし）（1杯）,かふぇおれ（さとうなし）（1ぱい）,35.3,1.7,1.9,2.7,150.0
紅茶（砂糖なし）（1杯）,こうちゃ（さとうなし）（1ぱい）,1.3,0.1,0.0,0.1,150.0
ミルクティー（砂糖なし）（1杯）,みるくてぃー（さとうなし）（1ぱい）,34.0,1.7,1.9,2.5,150.0
レモンティー（砂糖なし）（1杯）,れもんてぃー（さとうなし）（1ぱい）,1.3,0.1,0.0,0.2,151.5
ビール（350ミリリットル缶1本）,びーる（350みりりっとるかん1ほん）,40.1,0.3,0.0,3.1,354.0
ビール（大ビン1本）,びーる（おおびん1ほん）,40.1,0.3,0.0,3.1,639.0
発泡酒（350ミリリットル缶1本）,はっぽうしゅ（350みりりっとるかん1ほん）,44.9,0.1,0.0,3.6,354.0
日本酒（1合）,にほんしゅ（1ごう）,108.9,0.4,0.0,4.9,180.0
焼酎（100ミリリットル）,しょうちゅう（100みりりっとる）,146.4,0.0,0.0,0.0,97.0
ウイスキー（シングル1杯）,ういすきー（しんぐる1ぱい）,237.9,0.0,0.0,0.0,29.0
赤ワイン（ワイングラス1杯）,あかわいん（わいんぐらす1ぱい）,72.5,0.3,0.0,1.5,80.0
白ワイン（ワイングラス1杯）,しろわいん（わいんぐらす1ぱい）,72.5,0.1,0.0,2.0,80.0
コーラ（ペットボトル1本）,こーら（ぺっとぼとる1ほん）,46.0,0.1,0.0,11.4,500.0
サイダー（ペットボトル1本）,さいだー（ぺっとぼとる1ほん）,41.0,0.0,0.0,10.2,500.0
塩（1つまみ）,しお（1つまみ）,0.0,0.0,0.0,0.0,1.0
塩（1ふり）,しお（1ふり）,0.0,0.0,0.0,0.0,0.5
醤油（1かけ）,しょうゆ（1かけ）,75.0,7.5,0.0,10.0,4.0
砂糖（小さじ1）,ざとう（こさじ1）,400.0,0.0,0.0,100.0,3.0
グラニュー糖（小ステック1本）,ぐらにゅーとう（しょうすてっく1ほん）,400.0,0.0,0.0,100.0,3.0
中濃ソース（小さじ1）,ちゅうのうそーす（こさじ1）,133.3,0.0,0.0,30.0,6.0
トマトケチャップ（1かけ）,とまとけちゃっぷ（1かけ）,116.7,1.7,0.0,26.7,6.0
トマトケチャップ（スティック1本）,とまとけちゃっぷ（すてぃっく1ほん）,116.7,1.7,0.0,27.5,12.0
マヨネーズ（1かけ）,まよねーず（1かけ）,700.0,2.0,76.0,4.0,5.0
マヨネーズ（ステック1本）,まよねーず（すてっく1ほん）,700.0,1.7,75.0,4.2,12.0
和風ドレッシング（大さじ1）,わふうどれっしんぐ（おおさじ1）,80.0,3.3,0.0,16.0,15.0
フレンチドレッシング（大さじ1）,ふれんちどれっしんぐ（おおさじ1）,405.9,0.0,41.8,5.9,17.0
サウザンアイランドドレッシング（大さじ1）,さうざんあいらんどどれっしんぐ（おおさじ1）,417.6,1.2,41.2,9.4,17.0
はちみつ（小さじ1）,はちみつ（こさじ1）,300.0,0.0,0.0,80.0,7.0
いちごジャム（大さじ1）,いちごじゃむ（おおさじ1）,257.1,0.5,0.0,63.3,21.0
マーマレード（大さじ1）,まーまれーど（おおさじ1）,257.1,0.0,0.0,63.3,21.0
ブルーベリージャム（大さじ1）,ぶるーべりーじゃむ（おおさじ1）,181.0,0.5,0.5,43.8,21.0
ごま（小さじ1）,ごま（こさじ1）,600.0,20.0,53.3,20.0,3.0
バター（小さじ1）,ばたー（こさじ1）,750.0,0.0,80.0,0.0,4.0
アマランサス　玄穀,あまらんさす げんたなつもの,343.0,12.7,6.0,64.9,0.0
あわ　精白粒,あわ せいはくつぶ,346.0,11.2,4.4,69.7,0.0
あわ　あわもち,あわ あわもち,210.0,5.1,1.3,45.3,0.0
えんばく　オートミール,えんばく おーとみーる,350.0,13.7,5.7,69.1,0.0
おおむぎ　七分つき押麦,おおむぎ 七ふんつきおしむぎ,343.0,10.9,2.1,72.1,0.0
おおむぎ　押麦　乾,おおむぎ おしむぎ いぬい,329.0,6.7,1.5,78.3,0.0
おおむぎ　押麦　めし,おおむぎ おしむぎ めし,118.0,2.2,0.5,28.5,0.0
おおむぎ　米粒麦,おおむぎ こめつぶむぎ,333.0,7.0,2.1,76.2,0.0
