料理名,料理名[読み],エネルギー[100キロカロリー毎],たんぱく質[100キロカロリー毎],脂質[100キロカロリー毎],炭水化物[100キロカロリー毎],g合計
＜香辛料類＞　カレー粉,＜こうしんりょうるい＞ かれーこ,338.0,13.0,12.2,63.3,0.0
＜香辛料類＞　クローブ　粉,＜こうしんりょうるい＞ くろーぶ こな,398.0,7.2,13.6,66.4,0.0
＜香辛料類＞　こしょう　黒　粉,＜こうしんりょうるい＞ こしょう くろ こな,362.0,11.0,6.0,66.6,0.0
＜香辛料類＞　こしょう　白　粉,＜こうしんりょうるい＞ こしょう しろ こな,376.0,10.1,6.4,70.1,0.0
＜香辛料類＞　こしょう　混合　粉,＜こうしんりょうるい＞ こしょう こんごう こな,369.0,10.6,6.2,68.3,0.0
＜香辛料類＞　さんしょう　粉,＜こうしんりょうるい＞ さんしょう こな,375.0,10.3,6.2,69.6,0.0
＜香辛料類＞　シナモン　粉,＜こうしんりょうるい＞ しなもん こな,356.0,3.6,3.5,79.6,0.0
＜香辛料類＞　しょうが　粉,＜こうしんりょうるい＞ しょうが こな,365.0,7.8,4.9,72.5,0.0
＜香辛料類＞　しょうが　おろし,＜こうしんりょうるい＞ しょうが おろし,41.0,0.7,0.6,8.6,0.0
＜香辛料類＞　セージ　粉,＜こうしんりょうるい＞ せーじ こな,377.0,6.4,10.1,66.9,0.0
＜香辛料類＞　タイム　粉,＜こうしんりょうるい＞ たいむ こな,342.0,6.5,5.2,69.8,0.0
＜香辛料類＞　チリパウダー,＜こうしんりょうるい＞ ちりぱうだー,374.0,15.0,8.2,60.1,0.0
＜香辛料類＞　とうがらし　粉,＜こうしんりょうるい＞ とうがらし こな,412.0,16.2,9.7,66.8,0.0
＜香辛料類＞　ナツメグ　粉,＜こうしんりょうるい＞ なつめぐ こな,520.0,5.7,38.5,47.5,0.0
＜香辛料類＞　にんにく　ガーリックパウダー　食塩無添加,＜こうしんりょうるい＞ にんにく がーりっくぱうだー しょくえんむてんか,380.0,19.9,0.8,73.8,0.0
＜香辛料類＞　にんにく　ガーリックパウダー　食塩添加,＜こうしんりょうるい＞ にんにく がーりっくぱうだー しょくえんてんか,382.0,19.9,0.8,73.8,0.0
＜香辛料類＞　にんにく　おろし,＜こうしんりょうるい＞ にんにく おろし,170.0,4.7,0.5,37.0,0.0
＜香辛料類＞　バジル　粉,＜こうしんりょうるい＞ ばじる こな,307.0,21.1,2.2,50.6,0.0
＜香辛料類＞　パセリ　乾,＜こうしんりょうるい＞ ぱせり いぬい,341.0,28.7,2.2,51.6,0.0
＜香辛料類＞　パプリカ　粉,＜こうしんりょうるい＞ ぱぷりか こな,385.0,15.5,11.6,55.6,0.0
＜香辛料類＞　わさび　粉　からし粉入り,＜こうしんりょうるい＞ わさび こな からしこなはいり,384.0,16.5,4.4,69.7,0.0
＜香辛料類＞　わさび　練り,＜こうしんりょうるい＞ わさび ねり,265.0,3.3,10.3,39.8,0.0
＜その他＞　酵母　パン酵母　圧搾,＜そのた＞ こうぼ ぱんこうぼ あっさく,105.0,16.5,1.5,12.1,0.0
＜その他＞　酵母　パン酵母　乾燥,＜そのた＞ こうぼ ぱんこうぼ かんそう,307.0,37.1,6.8,43.1,0.0
＜その他＞　ベーキングパウダー,＜そのた＞ べーきんぐぱうだー,150.0,0.0,1.2,29.0,0.0
和風料理　和え物類　青菜の白和え,わふうりょうり あえものるい あおなのしらあえ,81.0,4.2,3.4,10.5,0.0
和風料理　和え物類　いんげんのごま和え,わふうりょうり あえものるい いんげんのごまあえ,77.0,3.7,3.4,9.1,0.0
和風料理　和え物類　わかめとねぎの酢みそ和え,わふうりょうり あえものるい わかめとねぎのすみそあえ,85.0,3.8,0.9,16.3,0.0
和風料理　汁物類　とん汁,わふうりょうり しるぶつるい とんじる,26.0,1.5,1.5,2.0,0.0
和風料理　酢の物類　紅白なます,わふうりょうり すのぶつるい こうはくなます,34.0,0.6,0.6,7.2,0.0
和風料理　煮物類　卯の花いり,わふうりょうり にものるい うのはないり,84.0,4.4,4.1,10.7,0.0
和風料理　煮物類　親子丼の具,わふうりょうり にものるい おやこどんのぐ,101.0,8.4,5.2,5.6,0.0
和風料理　煮物類　牛飯の具,わふうりょうり にものるい ぎゅうめしのぐ,122.0,4.1,9.4,6.4,0.0
和風料理　煮物類　切り干し大根の煮物,わふうりょうり にものるい きりぼしだいこんのにもの,48.0,2.3,2.5,5.7,0.0
和風料理　煮物類　きんぴらごぼう,わふうりょうり にものるい きんぴらごぼう,84.0,1.4,4.5,11.3,0.0
和風料理　煮物類　ぜんまいのいため煮,わふうりょうり にものるい ぜんまいのいために,80.0,3.4,4.2,8.7,0.0
和風料理　煮物類　筑前煮,わふうりょうり にものるい ちくぜんに,85.0,4.4,3.5,10.2,0.0
和風料理　煮物類　肉じゃが,わふうりょうり にものるい にくじゃが,78.0,4.3,1.3,13.0,0.0
和風料理　煮物類　ひじきのいため煮,わふうりょうり にものるい ひじきのいために,75.0,3.1,4.0,9.9,0.0
和風料理　その他　アジの南蛮漬け,わふうりょうり そのた あじのなんばんづけ,109.0,8.1,6.1,6.2,0.0
和風料理　その他　松前漬け　しょうゆ漬,わふうりょうり そのた まつまえづけ しょうゆづけ,166.0,17.0,1.4,24.7,0.0
洋風料理　カレー類　チキンカレー,ようふうりょうり かれーるい ちきんかれー,131.0,5.6,8.8,8.4,0.0
洋風料理　カレー類　ビーフカレー,ようふうりょうり かれーるい びーふかれー,119.0,2.4,9.0,8.1,0.0
洋風料理　カレー類　ポークカレー,ようふうりょうり かれーるい ぽーくかれー,116.0,2.8,8.6,7.7,0.0
洋風料理　コロッケ類　カニクリームコロッケ,ようふうりょうり ころっけるい かにくりーむころっけ,255.0,5.1,17.1,22.0,0.0
洋風料理　コロッケ類　コーンクリームコロッケ,ようふうりょうり ころっけるい こーんくりーむころっけ,245.0,5.1,16.0,23.4,0.0
洋風料理　コロッケ類　ポテトコロッケ,ようふうりょうり ころっけるい ぽてところっけ,226.0,5.3,12.6,25.2,0.0
洋風料理　シチュー類　チキンシチュー,ようふうりょうり しちゅーるい ちきんしちゅー,124.0,6.2,8.0,7.8,0.0
洋風料理　シチュー類　ビーフシチュー,ようふうりょうり しちゅーるい びーふしちゅー,153.0,4.1,12.6,7.1,0.0
洋風料理　素揚げ類　ミートボール,ようふうりょうり すあげるい みーとぼーる,199.0,10.2,12.5,13.4,0.0
洋風料理　スープ類　かぼちゃのクリームスープ,ようふうりょうり すーぷるい かぼちゃのくりーむすーぷ,73.0,1.5,3.9,10.1,0.0
洋風料理　スープ類　コーンクリームスープ　コーンクリームスープ,ようふうりょうり すーぷるい こーんくりーむすーぷ こーんくりーむすーぷ,62.0,1.7,2.6,8.5,0.0
洋風料理　スープ類　コーンクリームスープ　粉末タイプ,ようふうりょうり すーぷるい こーんくりーむすーぷ ふんまつたいぷ,425.0,8.1,13.7,67.4,0.0
洋風料理　ハンバーグステーキ類　合いびきハンバーグ,ようふうりょうり はんばーぐすてーきるい あいびきはんばーぐ,197.0,13.4,12.2,10.0,0.0
洋風料理　ハンバーグステーキ類　チキンハンバーグ,ようふうりょうり はんばーぐすてーきるい ちきんはんばーぐ,171.0,12.6,10.2,8.5,0.0
洋風料理　ハンバーグステーキ類　豆腐ハンバーグ,ようふうりょうり はんばーぐすてーきるい とうふはんばーぐ,142.0,9.9,9.2,8.4,0.0
洋風料理　フライ類　いかフライ,ようふうりょうり ふらいるい いかふらい,227.0,13.3,11.3,19.7,0.0
洋風料理　フライ類　えびフライ,ようふうりょうり ふらいるい えびふらい,236.0,15.9,11.6,20.5,0.0
洋風料理　フライ類　白身フライ,ようふうりょうり ふらいるい しろみふらい,299.0,9.7,21.8,16.2,0.0
洋風料理　フライ類　メンチカツ,ようふうりょうり ふらいるい めんちかつ,273.0,10.7,18.7,18.7,0.0
洋風料理　フライ用冷凍食品　いかフライ　冷凍,ようふうりょうり ふらいようれいとうしょくひん いかふらい れいとう,146.0,10.6,2.0,21.4,0.0
洋風料理　フライ用冷凍食品　えびフライ　冷凍,ようふうりょうり ふらいようれいとうしょくひん えびふらい れいとう,139.0,10.2,1.9,20.3,0.0
洋風料理　フライ用冷凍食品　コロッケ　クリームコロッケ　冷凍,ようふうりょうり ふらいようれいとうしょくひん ころっけ くりーむころっけ れいとう,159.0,4.7,6.3,20.9,0.0
洋風料理　フライ用冷凍食品　コロッケ　ポテトコロッケ　冷凍,ようふうりょうり ふらいようれいとうしょくひん ころっけ ぽてところっけ れいとう,157.0,4.6,4.9,25.3,0.0
洋風料理　フライ用冷凍食品　白身フライ　冷凍,ようふうりょうり ふらいようれいとうしょくひん しろみふらい れいとう,148.0,11.6,2.7,19.3,0.0
洋風料理　フライ用冷凍食品　メンチカツ　冷凍,ようふうりょうり ふらいようれいとうしょくひん めんちかつ れいとう,196.0,9.9,7.2,23.0,0.0
洋風料理　その他　えびグラタン,ようふうりょうり そのた えびぐらたん,128.0,5.5,6.9,12.1,0.0
洋風料理　その他　えびピラフ,ようふうりょうり そのた えびぴらふ,146.0,3.3,2.3,29.8,0.0
中国料理　点心類　ぎょうざ,ちゅうごくりょうり てんしんるい ぎょうざ,209.0,6.9,11.3,22.3,0.0
中国料理　点心類　しゅうまい,ちゅうごくりょうり てんしんるい しゅうまい,191.0,9.1,9.2,19.5,0.0
中国料理　点心類　中華ちまき,ちゅうごくりょうり てんしんるい ちゅうかちまき,174.0,5.9,5.5,27.7,0.0
中国料理　菜類　酢豚,ちゅうごくりょうり なるい すぶた,77.0,4.6,3.3,7.6,0.0
中国料理　菜類　八宝菜,ちゅうごくりょうり なるい はっぽうさい,64.0,5.8,3.2,3.8,0.0
中国料理　菜類　麻婆豆腐,ちゅうごくりょうり なるい まーぼどうふ,104.0,7.8,6.8,3.8,0.0
韓国料理　和え物類　もやしのナムル,かんこくりょうり あえものるい もやしのなむる,70.0,3.1,4.5,5.7,0.0
スパゲッティとミートボール,すぱげってぃとみーとぼーる,300.0,12.2,12.8,33.9,180.0
フライドチキン,ふらいどちきん,280.0,20.0,19.0,7.0,100.0
焼き鮭,やきさけ,275.0,19.2,18.3,0.0,120.0
チキンのシーザーサラダ,ちきんのしーざーさらだ,160.0,14.7,10.0,3.3,300.0
ビーフチリ,びーふちり,131.4,10.3,4.0,14.0,350.0
牛肉の野菜炒め,ぎゅうにくのやさいいため,150.0,10.0,6.5,14.0,200.0
ローストチキン,ろーすとちきん,165.0,31.0,4.0,0.0,100.0
フィッシュアンドチップス,ふぃっしゅあんどちっぷす,200.0,6.9,12.9,16.9,350.0
スパイシーチキンカレー,すぱいしーちきんかれー,133.3,7.3,4.0,18.3,300.0
フライドポテト付きチーズバーガー,ふらいどぽてとつきちーずばーがー,225.0,8.5,11.3,21.8,400.0
ビーフストロガノフ,びーふすとろがのふ,133.3,9.3,7.3,6.0,300.0
焼きサーモン,やきさーもん,200.0,18.3,13.3,0.0,120.0
グリルした鶏の胸肉,ぐりるしたにわとりのむねにく,137.5,25.8,2.5,0.0,120.0
ツナサラダ,つなさらだ,200.0,10.0,12.5,10.0,150.0
ファヒータ,ふぁひーた,150.0,12.0,4.3,14.7,300.0
ポークチョップ,ぽーくちょっぷ,195.8,25.8,9.2,0.0,120.0
ミートローフ,みーとろーふ,188.0,14.0,11.2,6.8,250.0
シュリンプスキャンピー,しゅりんぷすきゃんぴー,165.0,14.0,9.0,7.0,200.0
チキンアルフレッドパスタ,ちきんあるふれっどぱすた,220.0,12.0,12.3,17.3,300.0
ビーフタコス,びーふたこす,126.7,9.3,5.3,11.3,300.0
グリルステーキ,ぐりるすてーき,137.5,25.8,2.5,0.0,120.0
チキンパルメザン,ちきんぱるめざん,200.0,17.5,9.0,13.0,200.0
ビーフファヒータ,びーふふぁひーた,150.0,12.0,4.7,15.0,300.0
手羽先,てばさき,250.0,21.0,17.0,1.0,100.0
野菜のラザニア,やさいのらざにあ,153.3,6.7,5.3,20.7,300.0
ラタトゥイユ,らたとぅいゆ,40.0,0.8,0.0,8.8,250.0
レンズ豆のスープ,れんずまめのすーぷ,120.0,7.2,1.2,20.0,250.0
キノアサラダ,きのあさらだ,110.0,4.0,5.0,14.0,200.0
ベークドポテト,べーくどぽてと,110.0,2.0,0.0,25.0,200.0
ファラフェルラップ,ふぁらふぇるらっぷ,220.0,6.0,11.0,26.0,200.0
ベジタブルカレー,べじたぶるかれー,100.0,3.3,5.0,11.7,300.0
マッシュルームのリゾット,まっしゅるーむのりぞっと,200.0,4.8,8.8,28.0,250.0
焼きジティ,やきじてぃ,180.0,10.0,6.8,20.0,250.0
タンドリーチキン,たんどりーちきん,125.0,14.0,3.0,6.0,200.0
ギリシャサラダ,ぎりしゃさらだ,150.0,7.0,12.5,5.0,200.0
チキンシーザーラップ,ちきんしーざーらっぷ,200.0,11.2,10.4,17.2,250.0
えびのグリル,えびのぐりる,83.3,18.3,0.8,0.0,120.0
みそ汁,みそしる,28.0,1.6,0.8,3.6,250.0
ビーフブルギニヨン,びーふぶるぎによん,160.0,12.0,5.3,14.0,300.0
クラブケーキ,くらぶけーき,250.0,12.0,17.0,10.0,100.0
チキンケサディージャ,ちきんけさでぃーじゃ,220.0,14.4,11.2,16.8,250.0
パッタイ,ぱったい,200.0,8.0,6.7,30.0,300.0
焼き野菜,やきやさい,50.0,1.0,0.0,10.0,200.0
黒豆のスープ,くろまめのすーぷ,100.0,6.0,1.2,18.0,250.0
海鮮タコス,かいせんたこす,166.7,9.3,7.3,17.3,300.0
ピーマンの詰め物,ぴーまんのつめもの,150.0,7.0,7.0,15.0,200.0
きのこスープ,きのこすーぷ,80.0,1.6,6.0,4.0,250.0
ブルスケッタ,ぶるすけった,200.0,4.0,10.0,20.0,100.0
焼き芋,やきいも,100.0,2.2,0.2,22.9,103.0
カプレーゼサラダ,かぷれーぜさらだ,105.6,5.6,7.8,2.8,180.0
レンズ豆のカレー,れんずまめのかれー,108.6,6.2,4.3,10.5,210.0
マルゲリータピザ,まるげりーたぴざ,178.5,7.7,6.2,19.2,130.0
タブーラサラダ,たぶーらさらだ,120.0,3.0,4.0,17.0,100.0
野菜炒め,やさいいため,98.0,3.5,6.0,9.0,200.0
チキンポットパイ,ちきんぽっとぱい,180.0,7.3,9.3,17.7,300.0
豆腐と野菜の炒め物,とうふとやさいのいためもの,115.0,9.0,7.0,5.0,200.0
バターナッツかぼちゃのスープ,ばたーなっつかぼちゃのすーぷ,40.0,1.0,0.3,9.0,300.0
ギリシャのジャイロ,ぎりしゃのじゃいろ,148.9,10.6,6.4,11.9,235.0
キッシュロレーヌ,きっしゅろれーぬ,256.7,9.2,19.2,11.7,120.0
エビのカクテル,えびのかくてる,105.0,23.0,1.0,1.0,100.0
ファラフェルプレート,ふぁらふぇるぷれーと,290.0,11.5,13.0,33.0,200.0
焼き魚,やきざかな,135.0,26.0,2.0,0.0,100.0
野菜のキノアサラダ,やさいのきのあさらだ,146.7,5.3,6.0,19.3,150.0
サーモンのレモン焼き,さーもんのれもんやき,200.0,25.0,10.0,0.0,120.0
ほうれん草とフェタチーズを詰めた鶏の胸肉,ほうれんそうとふぇたちーずをつめたにわとりのむねにく,145.0,23.0,4.5,1.0,200.0
キノコとチーズのオムレツ,きのことちーずのおむれつ,213.3,16.0,15.3,2.7,150.0
豚ヒレ肉のグリル,ぶたひれにくのぐりる,120.0,22.0,3.0,0.0,100.0
ひよこ豆と野菜のカレー,ひよこまめとやさいのかれー,138.0,5.0,4.5,20.5,200.0
きのこの詰め物,きのこのつめもの,100.0,2.7,8.0,6.0,150.0
ナスパルメザン,なすぱるめざん,200.0,12.0,11.5,12.5,200.0
グリルチキンサラダ,ぐりるちきんさらだ,175.0,22.5,6.0,5.0,200.0
サーモンの野菜焼き,さーもんのやさいやき,175.0,20.0,9.0,5.0,200.0
キヌアと黒豆の丼,きぬあとくろまめのどんぶり,200.0,10.0,6.0,30.0,200.0
焼き野菜盛り合わせ,やきやさいもりあわせ,50.0,2.0,2.5,6.0,200.0
焼き野菜サンド,やきやさいさんど,125.0,4.0,2.5,25.0,200.0
レンズ豆と野菜のスープ,れんずまめとやさいのすーぷ,75.0,5.0,1.0,12.5,200.0
海老の野菜炒め,えびのやさいいため,125.0,10.0,2.5,12.5,200.0
ポートベロー マッシュルーム バーガーのグリル,ぽーとべろー まっしゅるーむ ばーがーのぐりる,75.0,2.5,1.5,15.0,200.0
鶏むね肉のさつまいも焼き,にわとりむねにくのさつまいもやき,150.0,17.5,2.5,10.0,200.0
まぐろと野菜のラップ,まぐろとやさいのらっぷ,125.0,10.0,4.0,10.0,200.0
オヒョウのアスパラガス焼き,おひょうのあすぱらがすやき,150.0,20.0,5.0,2.5,200.0
焼き野菜ケバブ,やきやさいけばぶ,75.0,2.5,2.5,12.5,200.0
焼き鳥とロースト野菜添え,やきとりとろーすとやさいぞえ,175.0,20.0,7.5,5.0,200.0
レンズ豆とキヌアのサラダ,れんずまめときぬあのさらだ,150.0,7.5,5.0,22.5,200.0
鶏肉のブロッコリー炒め,とりにくのぶろっこりーいため,125.0,17.5,2.5,5.0,200.0
野菜と豆腐の炒め物,やさいととうふのいためもの,100.0,5.0,4.0,12.5,200.0
海老と野菜の串焼き,えびとやさいのくしやき,125.0,10.0,4.0,7.5,200.0
焼き芋と野菜の盛り合わせ,やきいもとやさいのもりあわせ,75.0,2.5,2.5,12.5,200.0
焼き鱈のロースト野菜添え,やきたらのろーすとやさいぞえ,125.0,17.5,5.0,2.5,200.0
鶏肉と野菜の炒め物,とりにくとやさいのいためもの,125.0,15.0,5.0,5.0,200.0
焼き野菜と山羊チーズのサンドイッチ,やきやさいとやぎちーずのさんどいっち,175.0,7.5,6.0,25.0,200.0
チキンヌードルスープ,ちきんぬーどるすーぷ,32.0,3.3,0.8,3.7,244.0
焼きタラ,やきたら,122.4,27.1,1.2,0.0,85.0
巻き寿司（サーモンとアボカド）,まきずし（さーもんとあぼかど）,148.4,8.0,6.4,15.6,250.0
焼き豆腐,やきどうふ,113.0,12.0,7.0,2.0,100.0
ロースト野菜,ろーすとやさい,62.4,2.4,1.2,12.9,85.0
焼き魚（ティラピア）,やきざかな（てぃらぴあ）,128.2,27.1,2.4,0.0,85.0
海老と野菜の炒め物,えびとやさいのいためもの,138.8,17.6,3.5,9.4,85.0
ハンバーガー,はんばーがー,261.1,11.9,15.0,19.9,226.0
二郎ラーメン,じろうらーめん,228.6,8.3,9.6,27.0,700.0
インスタントラーメン,いんすたんとらーめん,447.1,9.4,16.5,65.9,85.0
ひよこ豆粉,ひよこまめこ,383.7,22.4,6.1,57.1,49.0
乾燥コーンミール,かんそうこーんみーる,365.8,8.2,1.4,78.1,73.0
オートブラン、ドライ,おーとぶらん、どらい,244.0,18.0,6.0,66.0,50.0
エンバク粉,えんばくこ,377.4,13.2,7.5,66.0,53.0
じゃがいも粉,じゃがいもこ,355.3,7.1,0.0,82.4,85.0
米粉,べいこ,367.5,6.0,1.2,80.7,83.0
ライ麦粉、ライト,らいむぎこ、らいと,366.7,9.3,1.9,79.6,54.0
大豆粉,だいずこ,328.3,47.2,1.9,37.7,53.0
ふすま,ふすま,200.0,25.0,0.0,50.0,4.0
小麦粉、万能,こむぎこ、ばんのう,363.6,10.6,1.5,75.8,66.0
小麦粉、パン,こむぎこ、ぱん,362.5,12.5,1.4,72.2,72.0
小麦粉、ケーキ,こむぎこ、けーき,363.9,8.3,1.4,77.8,72.0
小麦粉、全粒粉,こむぎこ、ぜんりゅうこ,341.3,14.3,1.6,73.0,63.0
小麦胚芽、トースト,こむぎはいが、とーすと,385.7,28.6,14.3,57.1,7.0
ベーグル プレーン（直径10cm）,べーぐるぷれーん（ちょっけい10cm）,274.6,9.9,1.4,53.5,71.0
バノック,ばのっく,227.0,5.4,0.0,51.4,37.0
パン、フレンチまたはウィーン,ぱん、ふれんちまたはうぃーん,274.3,8.6,2.9,51.4,35.0
パン、イタリアン,ぱん、いたりあん,271.4,8.6,2.9,51.4,35.0
雑穀パン,ざっこくぱん,251.4,11.4,2.9,45.7,35.0
パン、ナン,ぱん、なん,304.8,11.1,3.2,57.1,63.0
パン、オートミール,ぱん、おーとみーる,268.6,8.6,5.7,48.6,35.0
パン、ピタ、白 (直径 17 cm),ぱん、ぴた、しろ(ちょっけい17cm),275.0,8.3,1.7,55.0,60.0
パン、ピタ、全粒粉（直径17cm）,ぱん、ぴた、ぜんりゅうこ（ちょっけい17cm）,265.6,9.4,3.1,54.7,64.0
パン、パンパーニッケル,ぱん、ぱんぱーにっける,251.4,8.6,2.9,48.6,35.0
パン、レーズン,ぱん、れーずん,274.3,8.6,5.7,51.4,35.0
パン、ライ麦,ぱん、らいむぎ,260.0,8.6,2.9,48.6,35.0
食パン 白 カロリーダウン,しょくぱんしろかろりーだうん,205.7,8.6,2.9,45.7,35.0
パン、白、コマーシャル,ぱん、しろ、こまーしゃる,265.7,8.6,2.9,51.4,35.0
パン、白、自家製 2% ミルク,ぱん、しろ、じかせい2%みるく,285.7,8.6,5.7,48.6,35.0
パン、全粒小麦、業務用,ぱん、ぜんつぶこむぎ、ぎょうむよう,245.7,8.6,2.9,45.7,35.0
パン、全粒粉、自家製 2% ミルク,ぱん、ぜんりゅうこ、じかせい2%みるく,277.1,8.6,5.7,51.4,35.0
イングリッシュマフィン ホワイト トースト,いんぐりっしゅまふぃんほわいととーすと,255.8,7.7,1.9,50.0,52.0
イングリッシュマフィン、全粒粉、トースト,いんぐりっしゅまふぃん、ぜんりゅうこ、とーすと,242.3,9.6,1.9,48.1,52.0
揚げパン,あげぱん,329.7,5.4,13.5,48.6,37.0
ロール、無愛想 (カイザー),ろーる、ぶあいそう(かいざー),293.0,10.5,3.5,52.6,57.0
ロール、ディナー、ホワイト,ろーる、でぃなー、ほわいと,303.6,7.1,7.1,50.0,28.0
ロールパン、ディナー、全粒粉,ろーるぱん、でぃなー、ぜんりゅうこ,267.9,7.1,3.6,50.0,28.0
ロール、ハンバーガーまたはホットドッグ、白,ろーる、はんばーがーまたはほっとどっぐ、しろ,279.1,9.3,4.7,48.8,43.0
ロールパン、ハンバーガーまたはホットドッグ、全粒粉,ろーるぱん、はんばーがーまたはほっとどっぐ、ぜんりゅうこ,262.8,9.3,7.0,44.2,43.0
スティックパン プレーン（19cm×2cm）,すてぃっくぱんぷれーん（19cm×2cm）,410.0,10.0,10.0,70.0,10.0
パンの詰め物、ドライミックス、準備済み,ぱんのつめぶつ、どらいみっくす、じゅんびずみ,177.4,2.8,8.5,21.7,106.0
クルトン、プレーン,くるとん、ぷれーん,387.5,12.5,12.5,75.0,8.0
団子,だんご,197.1,2.9,11.4,22.9,35.0
マッツォ、プレーン,まっつぉ、ぷれーん,400.0,10.7,0.0,85.7,28.0
タコの殻、焼き（直径13cm）,たこのから、やき（ちょっけい13cm）,469.2,7.7,23.1,61.5,13.0
トルティーヤ、コーン（直径15cm）,とるてぃーや、こーん（ちょっけい15cm）,215.8,5.3,5.3,42.1,19.0
トルティーヤ、小麦（直径20cm）,とるてぃーや、こむぎ（ちょっけい20cm）,324.5,8.2,6.1,55.1,49.0
フレンチトースト、冷凍、加熱済み、加熱済み,ふれんちとーすと、れいとう、かねつずみ、かねつずみ,213.6,6.8,6.8,32.2,59.0
自家製フレンチトースト,じかせいふれんちとーすと,229.2,7.7,10.8,24.6,65.0
パンケーキ、そば、ミックスから調製（直径13cm）,ぱんけーき、そば、みっくすからちょうせい（ちょっけい13cm）,182.5,7.5,7.5,25.0,40.0
バターとシロップを使った自家製パンケーキ (直径 13 cm),ばたーとしろっぷをつかったじかせいぱんけーき(ちょっけい13cm),224.0,6.0,6.0,40.0,50.0
パンケーキ、プレーン、コンプリート ミックス (直径 13 cm),ぱんけーき、ぷれーん、こんぷりーとみっくす(ちょっけい13cm),160.0,2.5,5.0,27.5,40.0
パンケーキ、プレーン、冷凍、加熱済み（直径 13 cm）,ぱんけーき、ぷれーん、れいとう、かねつずみ（ちょっけい13cm）,229.3,4.9,2.4,43.9,41.0
パンケーキ プレーン 自家製 (直径13cm),ぱんけーきぷれーんじかせい(ちょっけい13cm),226.3,5.3,10.5,28.9,38.0
自家製ポテトパンケーキ（直径8cm）,じかせいぽてとぱんけーき（ちょっけい8cm）,302.7,5.4,16.2,35.1,37.0
ワッフル、自家製,わっふる、じかせい,278.4,8.1,10.8,37.8,37.0
ワッフル、プレーン、冷凍、加熱済み、加熱済み,わっふる、ぷれーん、れいとう、かねつずみ、かねつずみ,263.6,6.1,9.1,39.4,33.0
大麦、精米、調理済み,おおむぎ、せいまい、ちょうりずみ,122.9,2.4,0.0,27.7,83.0
ブルグル、調理済み,ぶるぐる、ちょうりずみ,83.3,3.1,0.0,18.8,96.0
クスクス、調理済み,くすくす、ちょうりずみ,112.0,3.6,0.0,22.9,83.0
調理済みのキノア,ちょうりずみのきのあ,95.9,2.7,1.4,17.8,73.0
調理済みマカロニ,ちょうりずみまかろに,141.2,4.7,0.7,28.4,148.0
麺、中華、焼きそば,めん、ちゅうか、やきそば,545.5,9.1,36.4,63.6,11.0
めん、卵、調理済み,めん、たまご、ちょうりずみ,133.1,4.7,1.2,24.9,169.0
パスタ、冷蔵、調理済み,ぱすた、れいぞう、ちょうりずみ,130.2,5.3,1.8,23.7,169.0
パスタ、生冷蔵、ほうれん草、調理済み,ぱすた、なまれいぞう、ほうれんそう、ちょうりずみ,132.0,5.3,1.8,24.3,169.0
ラーメン チキン味 辛口,らーめんちきんみからくち,436.5,10.6,15.3,63.5,85.0
ライスヌードル、調理済み,らいすぬーどる、ちょうりずみ,109.1,1.1,0.0,24.7,186.0
玄米、長粒米、炊き込みご飯,げんまい、ちょうつぶまい、たきこみごはん,111.7,2.9,1.0,23.3,103.0
白米、長粒米、炊き込みご飯,はくまい、ちょうつぶまい、たきこみごはん,131.3,2.4,0.0,28.9,83.0
白米、長粒米、インスタント、調理済み,はくまい、ちょうつぶまい、いんすたんと、ちょうりずみ,97.7,2.3,0.0,21.8,87.0
白米、長粒米、湯引き、炊き込みご飯,はくまい、ちょうつぶまい、ゆびき、たきこみごはん,114.1,2.2,0.0,25.0,92.0
米、野生、調理済み,べい、やせい、ちょうりずみ,101.1,3.4,0.0,20.7,87.0
焼きそば,やきそば,99.2,5.0,0.0,21.7,120.0
スパゲッティ、調理済み,すぱげってぃ、ちょうりずみ,141.2,4.7,0.7,28.4,148.0
スパゲッティ、全粒小麦、調理済み,すぱげってぃ、ぜんつぶこむぎ、ちょうりずみ,123.6,5.4,0.7,26.4,148.0
小麦のクリーム レギュラー,こむぎのくりーむれぎゅらー,24.7,1.1,0.0,4.8,186.0
エンバクふすま、調理済み,えんばくふすま、ちょうりずみ,40.8,1.7,0.6,6.7,179.0
オートミール、インスタント、アップルシナモン,おーとみーる、いんすたんと、あっぷるしなもん,75.8,1.6,1.1,15.6,186.0
オートミール、インスタント、レギュラー,おーとみーる、いんすたんと、れぎゅらー,60.2,2.2,1.1,10.8,186.0
オートミール、大フレーク/クイック,おーとみーる、だいふれーく/くいっく,57.2,2.3,1.2,9.8,173.0
レッド・リバー、ロビン・フッド™,れっど・りばー、ろびん・ふっど™,63.9,2.2,0.6,13.3,180.0
オオバコ入りのすべてのふすまのつぼみ、ケロッグ™,おおばこいりのすべてのふすまのつぼみ、けろっぐ™,259.3,7.4,3.7,81.5,27.0
オールブラン、ケロッグ™,おーるぶらん、けろっぐ™,262.9,11.4,2.9,77.1,35.0
アーモンド レーズン Muslix、ケロッグ™,あーもんどれーずんMuslix、けろっぐ™,393.2,9.1,6.8,77.3,44.0
アルファビット、Post™,あるふぁびっと、Post™,408.8,5.9,2.9,88.2,34.0
ふすまフレーク、Post™,ふすまふれーく、Post™,349.1,9.4,1.9,77.4,53.0
